CardId,Normal,Foil,Name,Set
OGN-248,0,1,Icathian Rain,Origins
OGN-151,0,1,Lee Sin - Centered,Origins
OGN-172,1,0,Rebuke,Origins
OGN-043,1,0,Charm,Origins
OGN-126,1,0,Body Rune,Origins
OGN-173,1,0,Ride The Wind,Origins
OGN-058,1,0,Discipline,Origins
OGN-136,1,0,Pit Rookie,Origins
OGN-046,1,0,En Garde,Origins
OGN-042,1,0,Calm Rune,Origins
OGN-117a,0,1,Viktor - Innovator (Alternate Art),Origins
OGN-132,1,0,First Mate,Origins
OGN-047,1,0,Find Your Center,Origins
OGN-045,1,0,Defy,Origins
OGN-201,0,1,Invert Timelines,Origins
OGN-040,0,1,Seal of Rage,Origins
OGN-128,1,0,Challenge,Origins
OGN-183,1,0,Stacked Deck,Origins
OGN-169,1,0,Gust,Origins
OGN-166,1,0,Chaos Rune,Origins
OGN-098,1,0,Energy Conduit,Origins
OGN-229,1,0,Vengeance,Origins
OGN-102,1,0,Portal Rescue,Origins
OGN-177,1,0,Stealthy Pursuer,Origins
OGN-215,1,0,Petty Officer,Origins
OGN-010,1,0,Legion Rearguard,Origins
OGN-008,1,0,Get Excited!,Origins
OGN-083,1,0,Consult the Past,Origins
OGN-048,1,0,Meditation,Origins
OGN-208,1,0,Cruel Patron,Origins
OGN-094,1,0,Sprite Call,Origins
OGN-170,1,0,Morbid Return,Origins
OGN-189,0,1,Kayn - Unleashed,Origins
OGN-070,0,1,Mageseeker Warden,Origins
OGN-055,1,0,Wielder of Water,Origins
OGN-025,0,1,Blind Fury,Origins
OGN-109,0,1,Dr. Mundo - Expert,Origins
OGN-231,0,1,Commander Ledros,Origins
OGN-059,1,0,Eclipse Herald,Origins
OGN-005,1,0,Disintegrate,Origins
OGN-044,1,0,Clockwork Keeper,Origins
OGN-227,2,0,Symbol of the Solari,Origins
OGN-228,1,0,Vanguard Helm,Origins
OGN-101,1,0,Mushroom Pouch,Origins
OGN-084,1,0,Eager Apprentice,Origins
OGN-006,1,0,Flame Chompers,Origins
OGN-207,2,0,Call to Glory,Origins
OGN-015,1,0,Captain Farron,Origins
OGN-187,1,0,Whirlwind,Origins
OGN-212,1,0,Forge of the Future,Origins
OGN-176,1,0,Sneaky Deckhand,Origins
OGN-165,1,0,Cemetery Attendant,Origins
OGN-002,1,0,Brazen Buccaneer,Origins
OGN-013,1,0,Pouty Poro,Origins
OGN-020,1,0,Scrapyard Champion,Origins
OGN-131,1,0,Dune Drake,Origins
OGN-174,1,0,Sai Scout,Origins
OGN-206,1,0,Back to Back,Origins
OGN-217,1,0,Trifarian Gloryseeker,Origins
OGN-051,1,0,Solari Shieldbearer,Origins
OGN-088,1,0,Mega-Mech,Origins
OGN-127,1,0,Cannon Barrage,Origins
OGN-137,1,0,Stormclaw Ursine,Origins
OGN-060,2,0,Mask of Foresight,Origins
OGN-087,1,0,Lecturing Yordle,Origins
OGN-150,0,1,Kraken Hunter,Origins
OGN-125,1,0,Bilgewater Bully,Origins
OGN-219,2,0,Vanguard Sergeant,Origins
OGN-171,2,0,Mystic Poro,Origins
OGN-054,2,0,Sunlit Guardian,Origins
OGN-092,2,0,Riptide Rex,Origins
OGN-130,2,0,Crackshot Corsair,Origins
OGN-168,1,0,Fight or Flight,Origins
OGN-021,1,0,Sun Disc,Origins
OGN-062,1,0,Reinforce,Origins
OGN-185,1,0,Traveling Merchant,Origins
OGN-096,2,0,Watchful Sentry,Origins
OGN-134,2,0,Mobilize,Origins
OGN-129,2,0,Confront,Origins
OGN-091,2,0,Pit Crew,Origins
OGN-053,2,0,Stand United,Origins
OGN-188,1,0,Zaunite Bouncer,Origins
OGN-011,1,0,Magma Wurm,Origins
OGN-049,1,0,Playful Phantom,Origins
OGN-086,1,0,Jeweled Colossus,Origins
OGN-167,1,0,Ember Monk,Origins
OGN-003,1,0,Chemtech Enforcer,Origins
OGN-014,1,0,Sky Splitter,Origins
OGN-237,0,1,King's Edict,Origins
OGN-195,0,1,Rhasa the Sunderer,Origins
OGN-016,1,0,Dangerous Duo,Origins
OGN-144,1,0,Spoils of War,Origins
OGN-104,1,0,Retreat,Origins
OGN-124,1,0,Arena Bar,Origins
OGN-135,1,0,Pakaa Cub,Origins
OGN-210,1,0,Daring Poro,Origins
OGN-175,1,0,Shipyard Skulker,Origins
OGN-052,1,0,Stalwart Poro,Origins
OGN-090,1,0,Orb of Regret,Origins
OGN-035,0,1,Vayne - Hunter,Origins
OGN-218,2,0,Vanguard Captain,Origins
OGN-143,1,0,Pirate's Haven,Origins
OGN-184,1,0,The Syren,Origins
OGN-106,1,0,Sprite Mother,Origins
OGN-178,1,0,Undercover Agent,Origins
OGN-216,1,0,Soaring Scout,Origins
OGN-001,1,0,Blazing Scorcher,Origins
OGN-050,1,0,Rune Prison,Origins
OGN-265,0,1,Viktor - Herald of the Arcane,Origins
OGN-261,0,1,Leona - Radiant Dawn,Origins
OGN-253,0,1,Darius - Hand of Noxus,Origins
OGN-249,0,1,Volibear - Relentless Storm,Origins
OGN-007,2,0,Fury Rune,Origins
OGN-089,1,0,Mind Rune,Origins
OGN-214,1,0,Order Rune,Origins
OGN-133,1,0,Flurry of Blades,Origins
OGN-234,0,1,Harnessed Dragon,Origins
OGN-093,1,0,Smoke Screen,Origins
OGN-213,1,0,Hidden Blade,Origins
OGN-105,1,0,Singularity,Origins
OGN-095,1,0,Stupefy,Origins
OGN-115,0,1,Promising Future,Origins
OGN-009,2,0,Hextech Ray,Origins
OGN-186,1,0,Treasure Trove,Origins
OGN-012,1,0,Noxus Hopeful,Origins
OGN-233,0,1,Grand Strategem,Origins
OGN-116,0,1,Thousand-Tailed Watcher,Origins
OGN-209,1,0,Cull the Weak,Origins
OGN-103,1,0,Ravenbloom Student,Origins
OGN-028,0,1,Draven - Showboat,Origins
OGN-197,0,1,Teemo - Scout,Origins
OGN-004,1,0,Cleave,Origins
OGN-220,1,0,Facebreaker,Origins
OGN-030,0,1,Jinx - Demolitionist,Origins
OGN-085,2,0,Falling Comet,Origins
OGN-281,1,0,Hallowed Tomb,Origins
OGN-276,1,0,Aspirant's Climb,Origins
OGN-288,1,0,Startipped Peak,Origins
OGN-283,1,0,Navori Fighting Pit,Origins
OGN-292,1,0,The Dreaming Tree,Origins
OGN-275,1,0,Altar to Unity,Origins
OGN-294,1,0,Trifarian War Camp,Origins
OGN-296,1,0,Void Gate,Origins
OGN-287,1,0,Sigil of the Storm,Origins
OGN-279,1,0,Fortified Position,Origins
OGN-297,1,0,Windswept Hillock,Origins
