Product ID,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,Printing,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
686314,9201469,Riftbound: League of Legends Trading Card Game,Unleashed,Katarina - Reckless,,023/219,Rare,Near Mint,Foil,0.23,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/686314_in_200x200.jpg
685571,9197586,Riftbound: League of Legends Trading Card Game,Unleashed,Undying Legion,,025/219,Rare,Near Mint,Foil,0.14,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685571_in_200x200.jpg
684512,9191411,Riftbound: League of Legends Trading Card Game,Unleashed,Diana - Lunari,,079/219,Rare,Near Mint,Foil,0.15,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/684512_in_200x200.jpg
685944,9199549,Riftbound: League of Legends Trading Card Game,Unleashed,Monster Harpoon,,014/219,Uncommon,Near Mint,Normal,0.09,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685944_in_200x200.jpg
685943,9199539,Riftbound: League of Legends Trading Card Game,Unleashed,Scorchclaw,,016/219,Uncommon,Near Mint,Normal,0.04,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685943_in_200x200.jpg
685951,9199589,Riftbound: League of Legends Trading Card Game,Unleashed,Altar of Blood,,206/219,Uncommon,Near Mint,Normal,0.07,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685951_in_200x200.jpg
685528,9197299,Riftbound: League of Legends Trading Card Game,Unleashed,Revna the Lorekeeper,,005/219,Common,Near Mint,Normal,0.04,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/685528_in_200x200.jpg
685952,9199599,Riftbound: League of Legends Trading Card Game,Unleashed,Amateur Recital,,207/219,Uncommon,Near Mint,Normal,0.07,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/685952_in_200x200.jpg
684587,9191796,Riftbound: League of Legends Trading Card Game,Unleashed,Shadow Watcher,,037/219,Common,Near Mint,Normal,0.04,,,,,2,,https://tcgplayer-cdn.tcgplayer.com/product/684587_in_200x200.jpg
686324,9201539,Riftbound: League of Legends Trading Card Game,Unleashed,Clash of Giants,,110/219,Rare,Near Mint,Foil,0.10,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/686324_in_200x200.jpg
